Order Number,Date,Group Major,Pin,Item Description,Qty,Lot,Invoice
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-028,595340
890801,5/20/24,WPC 80,104151-191230,IWPC80 NON-GMO,1763.68,FL24123D1-029,595340
890132,5/16/24,WPI,100245-CS055,IWPI90,44.092,FL24107A1-078,595080
889570,5/17/24,WPI,100245-102170,IWPI90,1719.588,FL24125A1-083,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24125A1-084,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24125A1-085,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24125A1-086,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1719.588,FL24125A1-087,595170
876715,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-001,595070
876715,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-002,595070
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-004,595350
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-010,595350
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-011,595350
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-012,595350
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-013,595350
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-014,595350
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-015,595350
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-016,595350
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-017,595350
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-018,595350
892438,5/20/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-019,595350
876715,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-020,595070
876715,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-021,595070
876715,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-022,595070
876715,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-023,595070
876715,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-024,595070
876715,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24127A1-025,595070
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-004,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-005,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-006,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-007,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-008,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-009,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-010,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-011,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-012,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-013,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-014,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-015,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-016,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-017,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-018,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-019,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-020,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-021,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-022,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-023,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-024,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-025,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-026,595021
876714,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-027,595021
876715,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-028,595070
876715,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-029,595070
876715,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-030,595070
876715,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-031,595070
876715,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-032,595070
876715,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-033,595070
876715,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-034,595070
876715,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-035,595070
876715,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-036,595070
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-061,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-062,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-063,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-064,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-065,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-066,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-067,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-068,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-069,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-070,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-071,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-072,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-073,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-074,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-075,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-076,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-077,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-078,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-079,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-080,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-081,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-082,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-083,595025
876713,5/16/24,WPI,100245-CS055,IWPI90,1763.68,FL24128A1-084,595025
889571,5/22/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-001,595717
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-002,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-003,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-004,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-005,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-006,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-007,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-008,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-009,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-010,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-011,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-012,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-013,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-014,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-015,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-016,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-017,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-018,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-019,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-020,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-021,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-022,595342
889571,5/22/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-023,595717
889571,5/22/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-024,595717
889571,5/22/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-025,595717
889571,5/22/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-026,595717
889571,5/22/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-027,595717
889571,5/22/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-028,595717
889571,5/22/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-029,595717
889571,5/22/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-030,595717
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-031,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-032,595342
891389,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-033,595342
887361,5/22/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-034,595684
887361,5/22/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-035,595684
891393,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-036,595341
891393,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-037,595341
891393,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-038,595341
891393,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-039,595341
891393,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-040,595341
891393,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-041,595341
891393,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-042,595341
891393,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-043,595341
891393,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-044,595341
891393,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-045,595341
891393,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-046,595341
891393,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-047,595341
891393,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-048,595341
891393,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-049,595341
891393,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-050,595341
891393,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-051,595341
891393,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-052,595341
891393,5/20/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-053,595341
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-054,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-055,595170
889570,5/17/24,WPI,100245-102170,IWPI90,1763.68,FL24131A1-056,595170
